etapa,secuencia,nombre,depende_de,desfase_inicio_hs,responsable,duracion_hs,unidad_avance,cantidad_meta,peso_pct,criterio_cierre,descripcion,cant_materiales
E1,100,Excavación y movimiento de suelos,,0,CUA-A,40,BINARIO,,15.00,Suelo nivelado a cota -2.50m según plano E-01. Aprobación director de obra.,"Excavar con retroexcavadora hasta cota indicada en plano. Perfilar taludes. Retirar material a volquetes. Verificar cota con nivel óptico antes de llamar al director.",2
E1,200,Armado de bases y zapatas,100,0,CUA-A,32,PORCENTAJE,,35.00,100% del hierro colocado y atado según plano E-02. Director firma conformidad.,"Colocar hierros de fundación según plano E-02. Atar con alambre negro en todas las cruces. Verificar recubrimiento mínimo 5cm con separadores. Llamar al director para aprobación antes de colar.",3
E1,300,Colado hormigón fundaciones,200,72,CUA-A,16,BINARIO,,30.00,Hormigón colado y vibrado en todas las bases. Sin juntas frías.,"Coordinar mixer con 48hs de anticipación. Colar en una sola jornada sin interrupciones. Vibrar cada 40cm. Cubrir con film y mantener húmedo 7 días mínimo.",2
E1,400,Instalación sanitaria subsuelo,200,0,SUB-02,20,BINARIO,,20.00,Inspección municipal aprobada. Certificado en mano antes de tapar.,"Ejecutar según plano S-01. Pendientes mínimas 2%. Probar con tapones antes de tapar. Solicitar inspección municipal con 72hs de anticipación.",1
E2,500,Encofrado losa planta baja,300;400,0,CUA-B,24,BINARIO,,20.00,Encofrado completo y apuntalado según indicaciones. Sin deflexiones visibles.,"Armar encofrado con madera según plano E-03. Apuntalar cada 60cm. Verificar nivel con regla y nivel de burbuja. El director aprueba antes de armar el hierro.",0
E2,600,Armado hierro losa planta baja,500,0,CUA-C,24,PORCENTAJE,,30.00,100% del hierro colocado según plano E-PB-02. Director firma conformidad.,"Colocar malla inferior Ø12 según plano. Colocar hierros de borde. Armar malla superior. Verificar recubrimiento 2cm inferior y 3cm superior con separadores plásticos.",3
E2,700,Colado hormigón losa planta baja,600,24,CUA-A,8,BINARIO,,25.00,Hormigón H25 colado vibrado y nivelado. Sin poros visibles en bordes.,"Verificar aprobación del armado por el director. Colar con mixer. Vibrar cada capa máximo 40cm. Nivelar con regla vibradora. Cubrir con film y curar 7 días.",2
E2,800,Mampostería cerramiento planta baja,700,0,CUA-D,32,CANTIDAD,850,25.00,Mampostería completa en perímetro. Plomada verificada cada 5 hiladas.,"Trazar guías en el piso con tiralíneas. Preparar mezcla 1:3. Empezar por las esquinas. Verificar plomada y nivel cada 5 hiladas. Dejar vanos para marcos según plano A-01.",2
E3,900,Encofrado losa piso 1,700,0,CUA-B,24,BINARIO,,20.00,Encofrado completo y apuntalado. Sin deflexiones visibles.,"Igual procedimiento que losa PB. Ver plano E-04. Verificar que los puntales del piso inferior estén alineados.",0
E3,1000,Armado hierro losa piso 1,900,0,CUA-C,24,PORCENTAJE,,30.00,100% del hierro colocado según plano E-P1-02. Director firma.,"Igual procedimiento que losa PB. Ver plano E-P1-02. Prestar atención a los cambios de sección en el voladizo.",3
E3,1100,Colado hormigón losa piso 1,1000,24,CUA-A,8,BINARIO,,25.00,Hormigón H25 colado vibrado y nivelado.,Igual procedimiento que losa PB.,2
E3,1200,Mampostería cerramiento piso 1,1100,0,CUA-D,28,CANTIDAD,680,25.00,Mampostería completa en perímetro piso 1.,"Igual procedimiento que PB. Ver plano A-02 para ubicación de vanos.",2
E4,1300,Instalación eléctrica,800;1200,0,SUB-01,40,PORCENTAJE,,35.00,Certificado de electricista matriculado. Prueba de aislación aprobada.,"Ejecutar según plano IE-01. Respetar secciones de cable por circuito. Instalar cajas de pase en posiciones indicadas. No tapar sin aprobación.",0
E4,1400,Instalación sanitaria interior,800;1200,0,SUB-02,32,PORCENTAJE,,35.00,Prueba hidráulica aprobada. Sin pérdidas en 24hs bajo presión.,"Ejecutar según plano S-02. Pendientes mínimas. Probar antes de tapar. Las cañerías de agua fría van en paralelo a las de agua caliente.",0
E4,1500,Revoques gruesos interiores,1300;1400,0,CUA-D,48,PORCENTAJE,,30.00,Revoque completo en todas las paredes. Espesor 15mm. Superficie plana.,"Aplicar salpicado de adhesión. Esperar 24hs. Aplicar revoque grueso con regla. Verificar planeidad con regla de 2m. No más de 3mm de diferencia.",2
E5,1600,Revestimiento cerámico baños,1500,0,CUA-D,20,PORCENTAJE,,20.00,Cerámico completo en baños. Juntas alineadas. Sin piezas flojas.,"Fraguar con adhesivo flexible. Juntas 2mm con crucetas. Verificar planeidad. Fraguar con pastina del color indicado en plano A-03.",2
E5,1700,Pintura interior,1500,0,CUA-E,32,PORCENTAJE,,30.00,2 manos en todas las superficies. Sin marcas de rodillo ni rayaduras.,"Lijar y enduir imperfecciones. Imprimar con sellador. Primera mano. Esperar 4hs. Segunda mano. El director aprueba el color antes de empezar.",2
E5,1800,Piso cerámico,700;1100,0,CUA-D,28,CANTIDAD,420,25.00,Cerámico completo en áreas indicadas. Nivel verificado con nivel láser.,"Contrapisar con mezcla 3cm. Fraguar cerámico con adhesivo. Verificar nivel. Dejar juntas de dilatación cada 3m. Fraguar con pastina.",2
E5,1900,Limpieza final y entrega,1600;1700;1800,0,CUA-A,8,BINARIO,,25.00,Obra entregada con acta firmada por el comitente.,"Limpiar vidrios. Retirar todos los materiales sobrantes. Verificar que todas las instalaciones funcionen. Entregar llaves con acta firmada.",0
